"","id","name","lat","lng","installed","numberDocks"
"1",1,"River Street , Clerkenwell",51.52916347,-0.109970527,"true",19
"2",2,"Phillimore Gardens, Kensington",51.49960695,-0.197574246,"true",37
"3",3,"Christopher Street, Liverpool Street",51.52128377,-0.084605692,"true",32
"4",4,"St. Chad's Street, King's Cross",51.53005939,-0.120973687,"true",23
"5",5,"Sedding Street, Sloane Square",51.49313,-0.156876,"true",27
"6",6,"Broadcasting House, Marylebone",51.51811784,-0.144228881,"true",18
"7",7,"Charlbert Street, St. John's Wood",51.53430039,-0.1680743,"true",16
"8",8,"Maida Vale, Maida Vale",51.529857,-0.18348604,"true",39
"9",9,"New Globe Walk, Bankside",51.5073853,-0.096440751,"true",19
"10",10,"Park Street, Bankside",51.50597426,-0.092754157,"true",18
"11",11,"Brunswick Square, Bloomsbury",51.52395143,-0.122502346,"true",24
"12",12,"Malet Street, Bloomsbury",51.52168078,-0.130431727,"true",49
"13",13,"Scala Street, Fitzrovia",51.51991453,-0.136039674,"true",21
"14",14,"Argyle Street, Kings Cross",51.529416,-0.123944399999999,"true",45
"15",15,"Great Russell Street, Bloomsbury",51.51772703,-0.127854211,"true",26
"16",16,"Cartwright Gardens , Bloomsbury",51.52635795,-0.125979294,"true",21
"17",17,"Hatton Wall, Holborn",51.5216612,-0.109006325,"true",26
"18",18,"Drury Lane, Covent Garden",51.51477076,-0.12221963,"true",27
"19",19,"Taviton Street, Bloomsbury",51.52505093,-0.131161087,"true",30
"20",20,"Drummond Street , Euston",51.527326,-0.13605286,"true",28
"21",21,"Lansdowne Drive, Hackney Central",51.539834,-0.062806212,"true",26
"22",22,"Northington Street , Holborn",51.5222641,-0.114079481,"true",19
"23",23,"Red Lion Square, Holborn",51.51943538,-0.119123345,"true",16
"24",24,"British Museum, Bloomsbury",51.51908011,-0.124678402,"true",35
"25",25,"Doric Way , Somers Town",51.5288338,-0.132250369,"true",50
"26",26,"Ampton Street , Clerkenwell",51.52728093,-0.11829517,"true",21
"27",27,"Bouverie Street, Temple",51.51382102,-0.107927706,"true",33
"28",28,"Bolsover Street, Fitzrovia",51.52351808,-0.143613641,"true",19
"29",29,"Hereford Road, Bayswater",51.513735,-0.193487,"true",22
"30",30,"Windsor Terrace, Hoxton",51.52915444,-0.093421615,"true",24
"31",31,"Fanshaw Street, Hoxton",51.52953709,-0.083353323,"true",36
"32",32,"Leonard Circus , Shoreditch",51.52469624,-0.084439283,"true",43
"33",33,"Central House, Aldgate",51.515231,-0.07015,"true",18
"34",34,"Pancras Road, King's Cross",51.5341235,-0.129386874,"true",16
"35",36,"De Vere Gardens, Kensington",51.50173726,-0.184980612,"true",28
"36",37,"Penywern Road, Earl's Court",51.49159394,-0.192369256,"true",17
"37",38,"Abingdon Villas, Kensington",51.4973875,-0.197245586,"true",17
"38",39,"Shoreditch High Street, Shoreditch",51.5263778,-0.078130921,"true",41
"39",40,"Commercial Street, Shoreditch",51.52127071,-0.0755789,"true",16
"40",41,"Pindar Street, Liverpool Street",51.520955,-0.083493552,"true",24
"41",42,"Wenlock Road , Hoxton",51.53099181,-0.093903825,"true",28
"42",43,"Crawford Street, Marylebone",51.52026,-0.157183945,"true",18
"43",44,"Bruton Street, Mayfair",51.51073687,-0.144165239,"true",21
"44",45,"Boston Place, Marylebone",51.522511,-0.162298,"true",26
"45",46,"Nesham Street, Wapping",51.507131,-0.06691,"true",16
"46",47,"Warwick Avenue Station, Maida Vale",51.52334476,-0.183846408,"true",19
"47",48,"Godliman Street, St. Paul's",51.51248445,-0.099141408,"true",25
"48",49,"Curzon Street, Mayfair",51.50706909,-0.145904427,"true",16
"49",50,"East Road, Hoxton",51.52867339,-0.087459376,"true",27
"50",51,"Finsbury Library , Finsbury",51.52671796,-0.104298194,"true",29
"51",52,"Roscoe Street, St. Luke's",51.52295439,-0.094934859,"true",18
"52",53,"Grafton Street, Mayfair",51.5099923,-0.143495266,"true",18
"53",54,"Golden Lane, Barbican",51.52174785,-0.094475072,"true",27
"54",55,"Finsbury Circus, Liverpool Street",51.51707521,-0.086685542,"true",33
"55",56,"Paddington Street, Marylebone",51.52058381,-0.154701411,"true",16
"56",57,"Guilford Street , Bloomsbury",51.52334672,-0.120202614,"true",32
"57",58,"New Inn Yard, Shoreditch",51.52452699,-0.079248081,"true",20
"58",60,"Lisson Grove, St. John's Wood",51.52644828,-0.172190727,"true",18
"59",61,"Great Dover Street, The Borough",51.49738251,-0.089446947,"true",33
"60",62,"Cotton Garden Estate, Kennington",51.4907579,-0.106323685,"true",24
"61",63,"Murray Grove , Hoxton",51.53089041,-0.089782579,"true",27
"62",64,"William IV Street, Strand",51.50946212,-0.124749274,"true",26
"63",65,"Gower Place , Euston",51.52522753,-0.13518856,"true",17
"64",66,"Holborn Circus, Holborn",51.51795029,-0.108657431,"true",40
"65",67,"Hatton Garden, Holborn",51.51882555,-0.108028472,"true",28
"66",68,"Theobald's Road , Holborn",51.52059681,-0.116688468,"true",26
